,Class,Level,SpellCode,Spell
0,BERSERKER,LEVEL_3,SPCL321,BERSERKER_ENRAGE
1,BERSERKER,LEVEL_3,SPCL322,BERSERKER_DISABLE_MAGIC_CASTING_BUTTON
2,WIZARDSLAYER,LEVEL_1,SPCL131,WIZARDSLAYER_MAGIC_RESISTANCE_PLUS_1
3,WIZARDSLAYER,LEVEL_1,SPCL132,WIZARDSLAYER_CUMULATIE_25_SPELL_FAILURE
4,WIZARDSLAYER,LEVEL_1,SPCL133,WIZARDSLAYER_GIVE_ITEM_EFFECT_SPCL132
5,KENSAI,LEVEL_1,SPCL141,KENSAI_HIT_DAMAGE_PLUS_1
6,KENSAI,LEVEL_1,SPCL142,KENSAI_AC_MINUS_2
7,KENSAI,LEVEL_1,SPCL143,KENSAI_ATTACK_PLUS_1
8,KENSAI,LEVEL_1,SPCL144,KENSAI_KAI
9,BARBARIAN,LEVEL_1,SPCL151,BARBARIAN_MOVEMENT_MODIFIER
10,BARBARIAN,LEVEL_1,SPCL152,BARBARIAN_BARBARIC_RAGE
11,BARBARIAN,LEVEL_1,SPCL153,BARBARIAN_RESISTANCE_TO_DAMAGE_10_SLASH_CRUSH_PIERCING_AMP_MISSILE
12,BARBARIAN,LEVEL_1,SPCL154,BARBARIAN_RESISTANCE_TO_DAMAGE_5_SLASH_CRUSH_PIERCING_AMP_MISSILE
13,RANGER,LEVEL_3,SPCL311,RANGER_CHARM_PERSON_OR_MAMMAL
14,ARCHER,LEVEL_1,SPCL121,ARCHER_CALLED_SHOT
15,ARCHER,LEVEL_1,SPCL122,ARCHER_THACO_BONUS_WITH_MISSILE_WEAPONS
16,ARCHER,LEVEL_1,SPCL141,ARCHER_HIT_DAMAGE_PLUS_1
17,STALKER,LEVEL_3,SPCL331,STALKER_STEALTH_HIDE_IN_SHADOWS_PLUS_20
18,STALKER,LEVEL_3,SPCL332,STALKER_BACKSTAB_1
19,STALKER,LEVEL_3,SPRA301,STALKER_HASTE
20,STALKER,LEVEL_3,SPRA302,STALKER_MINOR_SPELL_DEFLECTION
21,STALKER,LEVEL_3,SPRA303,STALKER_PROTECTION_FROM_NORMAL_MISSILES
22,BEASTMASTER,LEVEL_3,SPCL341,BEASTMASTER_STEALTH_HIDE_IN_SHADOWS_15
23,BEASTMASTER,LEVEL_3,SPCL342,BEASTMASTER_FIND_FAMILIAR
24,BEASTMASTER,LEVEL_3,SPRA304,BEASTMASTER_ANIMAL_SUMMONING_1
25,BEASTMASTER,LEVEL_3,SPRA305,BEASTMASTER_ANIMAL_SUMMONING_2
26,BEASTMASTER,LEVEL_3,SPRA306,BEASTMASTER_ANIMAL_SUMMONING_3
27,BEASTMASTER,LEVEL_3,SPCL351,BEASTMASTER_DISABLE_STEATH_BUTTON
28,BEASTMASTER,LEVEL_2,SPCL234,BEASTMASTER_DISABLE_SPELL_SELECT_BUTTON
29,BEASTMASTER,LEVEL_2,SPCL235,BEASTMASTER_DISABLE_TURN_UNDEAD_BUTTON
30,PALADIN,LEVEL_2,SPCL211,PALADIN_LAY_ON_HANDS
31,PALADIN,LEVEL_2,SPCL212,PALADIN_DETECT_EVIL
32,PALADIN,LEVEL_2,SPCL213,PALADIN_PROTECTION_AGAINST_EVIL
33,CAVALIER,LEVEL_2,SPCL221,CAVALIER_FIRE_ACID_RESISTANSE_PROTECTION_AGAINS_CHARM_TO_HIT_DAMAGE_TO_DRAGONS
34,CAVALIER,LEVEL_2,SPCL222,CAVALIER_REMOVE_FEAR
35,INQUISITOR,LEVEL_2,SPCL231,INQUISITOR_DISPEL_MAGIC
36,INQUISITOR,LEVEL_2,SPCL232,INQUISITOR_TRUE_SIGHT
37,INQUISITOR,LEVEL_2,SPCL233,INQUISITOR_IMMUNITY_TO_HOLD_AND_CHARM
38,INQUISITOR,LEVEL_2,SPCL234,INQUISITOR_DISABLE_SPELL_SELECT_BUTTON
39,INQUISITOR,LEVEL_2,SPCL235,INQUISITOR_DISABLE_TURN_UNDEAD_BUTTON
40,UNDEADHUNTER,LEVEL_2,SPCL241,UNDEADHUNTER_TO_HIT_DAMAGE_VS_UNDEAD_PLUS_3
41,UNDEADHUNTER,LEVEL_2,SPCL242,UNDEADHUNTER_IMMUNITY_TO_HOLD_LEVEL_DRAIN
42,UNDEADHUNTER,LEVEL_4,SPCL412,UNDEADHUNTER_SET_TRAP_NORMAL_TRAP
43,UNDEADHUNTER,LEVEL_4,SPCL421,UNDEADHUNTER_DAMAGE_BONUS
44,UNDEADHUNTER,LEVEL_4,SPCL423,UNDEADHUNTER_GIVE_ITEM_EFFECT_SPCL422
45,UNDEADHUNTER,LEVEL_4,SPCL422,UNDEADHUNTER_POISON_WEAPON
46,UNDEADHUNTER,LEVEL_3,SPCL332,UNDEADHUNTER_BACKSTAB
47,BOUNTYHUNTER,LEVEL_4,SPCL414,BOUNTYHUNTER_SET_TRAP_BH_TRAP
