,RaceCode,Race
0,1,HUMAN
1,2,ELF
2,3,HALF_ELF
3,4,DWARF
4,5,HALFLING
5,6,GNOME
6,7,HALFORC
7,101,ANKHEG
8,102,BASILISK
9,103,BEAR
10,104,CARRIONCRAWLER
11,105,DOG
12,106,DOPPLEGANGER
13,107,ETTERCAP
14,108,GHOUL
15,109,GIBBERLING
16,110,GNOLL
17,111,HOBGOBLIN
18,112,KOBOLD
19,113,OGRE
20,115,SKELETON
21,116,SPIDER
22,117,WOLF
23,118,WYVERN
24,119,SLIME
25,120,FAIRY
26,121,DEMONIC
27,122,LYCANTHROPE
28,123,BEHOLDER
29,124,MIND_FLAYER
30,125,VAMPIRE
31,126,VAMPYRE
32,127,OTYUGH
33,128,RAKSHASA
34,129,TROLL
35,130,UMBERHULK
36,131,SAHUAGIN
37,132,SHADOW
38,133,SPECTRE
39,134,WRAITH
40,135,KUO_TOA
41,136,MIST
42,137,CAT
43,138,DUERGAR
44,139,MEPHIT
45,140,MIMIC
46,141,IMP
47,142,GIANT
48,143,ORC
49,144,GOLEM
50,145,ELEMENTAL
51,146,DRAGON
52,147,GENIE
53,148,ZOMBIE
54,149,STATUE
55,150,LICH
56,151,RABBIT
57,152,GITHYANKI
58,153,TIEFLING
59,154,YUANTI
60,155,DEMILICH
61,156,SOLAR
62,157,ANTISOLAR
63,158,PLANATAR
64,159,DARKPLANATAR
65,160,BEETLE
66,161,GOBLIN
67,162,LIZARDMAN
68,164,MYCONID
69,165,BUGBEAR
70,166,FEYR
71,167,HOOK_HORROR
72,168,SHRIEKER
73,169,SALAMANDER
74,170,BIRD
75,171,MINOTAUR
76,172,DRIDER
77,173,SIMULACRUM
78,174,HARPY
79,175,SPECTRAL_UNDEAD
80,176,SHAMBLING_MOUND
81,177,CHIMERA
82,178,HALF_DRAGON
83,179,YETI
84,180,KEG
85,181,WILL_O_WISP
86,182,MAMMAL
87,183,REPTILE
88,184,TREANT
89,185,AASIMAR
90,199,ETTIN
91,201,SWORD
92,202,BOW
93,203,XBOW
94,204,STAFF
95,205,SLING
96,206,MACE
97,207,DAGGER
98,208,SPEAR
99,209,FIST
100,210,HAMMER
101,211,MORNINGSTAR
102,212,ROBES
103,213,LEATHER
104,214,CHAIN
105,215,PLATE
106,255,NO_RACE
