,Spell,REPEAT
0,WIZARD_ALARM,20
1,WIZARD_MAGIC_MISSILE,50
2,WIZARD_SLEEP,10
3,WIZARD_GREASE,10
4,WIZARD_BLINDNESS,10
5,WIZARD_CHROMATIC_ORB,100
6,WIZARD_CHAOS_SHIELD,10
7,WIZARD_DETECT_INVISIBILITY,10
8,WIZARD_POWER_WORD_SLEEP,30
9,WIZARD_RESIST_FEAR,10
10,WIZARD_STINKING_CLOUD,10
11,WIZARD_WEB,10
12,WIZARD_HORROR,20
13,WIZARD_HOLD_PERSON,30
14,WIZARD_DIRE_CHARM,30
15,WIZARD_DISPEL_MAGIC,20
16,WIZARD_FIREBALL,10
17,WIZARD_HOLD_UNDEAD,10
18,WIZARD_CONFUSION,40
19,WIZARD_IMPROVED_INVISIBILITY,10
20,WIZARD_MINOR_GLOBE_OF_INVULNERABILITY,10
21,WIZARD_REMOVE_CURSE,5
22,WIZARD_EYE,5
23,WIZARD_EMOTION_HOPELESSNESS,10
24,WIZARD_ICE_STORM,10
25,WIZARD_GREATER_MALISON,10
26,WIZARD_SPELL_IMMUNITY,20
27,WIZARD_LOWER_RESISTANCE,10
28,WIZARD_DOMINATION,20
29,WIZARD_BREACH,10
30,WIZARD_CLOUDKILL,10
31,WIZARD_HOLD_MONSTER,20
32,WIZARD_CHAOS,10
33,WIZARD_STONE_TO_FLESH,10
34,WIZARD_SPELL_DEFLECTION,5
35,WIZARD_PIERCE_MAGIC,10
36,WIZARD_MISLEAD,20
37,WIZARD_FLESH_TO_STONE,10
38,WIZARD_CONTINGENCY,5
39,WIZARD_IMPROVED_HASTE,10
40,WIZARD_DISINTEGRATE,10
41,WIZARD_DEATH_FOG,5
42,WIZARD_DEATH_SPELL,5
43,WIZARD_POWER_WORD_SILENCE,5
44,WIZARD_GLOBE_OF_INVULNERABILITY,5
45,WIZARD_CONTROL_UNDEAD,10
46,WIZARD_IMPROVED_CHAOS_SHIELD,10
47,WIZARD_FINGER_OF_DEATH,10
48,WIZARD_MASS_INVISIBILITY,10
49,WIZARD_POWER_WORD_STUN,10
50,WIZARD_PRISMATIC_SPRAY,10
51,WIZARD_RUBY_RAY_OF_REVERSAL,5
52,WIZARD_SPELL_TURNING,5
53,WIZARD_SPHERE_OF_CHAOS,30
54,WIZARD_SIMULACRUM,30
55,WIZARD_SYMBOL_STUN,5
56,WIZARD_SYMBOL_FEAR,5
57,WIZARD_SYMBOL_DEATH,5
58,WIZARD_POWER_WORD_BLIND,5
59,WIZARD_MAZE,10
60,WIZARD_PIERCE_SHIELD,10
61,WIZARD_ABI_DALZIMS_HORRID_WILTING,10
62,WIZARD_BIGBYS_CLENCHED_FIST,5
63,WIZARD_INCENDIARY_CLOUD,5
64,WIZARD_SPELL_TRIGGER,5
65,WIZARD_SUMMON_FIEND,5
66,WIZARD_ABSOLUTE_IMMUNITY,5
67,WIZARD_IMPROVED_ALACRITY,10
68,WIZARD_CHAIN_CONTINGENCY,5
69,WIZARD_SUMMON_PLANATAR_EVIL,5
70,WIZARD_FREEDOM,10
71,WIZARD_GATE,5
72,WIZARD_IMPRISONMENT,5
73,WIZARD_SUMMON_PLANATAR_GOOD,5
74,WIZARD_METEOR_SWARM,5
75,WIZARD_POWER_WORD_KILL,10
76,WIZARD_TIME_STOP,10
77,WIZARD_WISH,10
78,WIZARD_WAIL_OF_THE_BANSHEE,5
79,WIZARD_COMET,5
80,WIZARD_SPELL_TRAP,5
