,ItemSlot,Category,ItemCode,Item
0,AMMO,ARROW,AROW04,ACID_ARROWS
1,AMMO,ARROW,AROW01,ARROWS
2,AMMO,ARROW,AROW06,ARROWS_OF_DETONATION
3,AMMO,ARROW,AROW07,ARROWS_OF_DISPELLING
4,AMMO,ARROW,AROW09,ARROWS_OF_ICE
5,AMMO,ARROW,AROW10,ARROWS_OF_PIERCING
6,AMMO,ARROW,ARHAND,ARROWS_OF_THE_HAND
7,AMMO,ARROW,AROW02,ARROWS_PLUS1
8,AMMO,ARROW,AROW11,ARROWS_PLUS2
9,AMMO,ARROW,AROW1A,ARROWS_PLUS2_1
10,AMMO,ARROW,AROW05,ARROW_OF_BITING
11,AMMO,ARROW,AROW12,ARROW_OF_BITING_1
12,AMMO,ARROW,AROW08,ARROW_OF_FIRE
13,AMMO,ARROW,AROW03,ARROW_OF_SLAYING
14,AMMO,ARROW,UAROW3A,CONFUSION_ARROWS_PLUS3
15,AMMO,ARROW,UAROW2A,HAMMER_ARROWS
16,AMMO,ARROW,UAROW3B,HAMMER_ARROW_PLUS1
17,AMMO,ARROW,HOLDFAST,HOLDFAST_ARROWS
18,AMMO,ARROW,UAROW4A,INFERNO_ARROWS_PLUS2
19,AMMO,ARROW,UAROW3C,PIERCING_ARROWS_PLUS1
20,AMMO,ARROW,AROWTRN,TRANSLOCATION_ARROWS
21,AMMO,BOLT,BOLT01,BOLT
22,AMMO,BOLT,BOLT04,BOLT_OF_BITING
23,AMMO,BOLT,BOLT03,BOLT_OF_LIGHTNING
24,AMMO,BOLT,BOLT05,BOLT_OF_POLYMORPHING
25,AMMO,BOLT,BOLT02,BOLT_PLUS1
26,AMMO,BOLT,BOLT06,BOLT_PLUS2
27,AMMO,BOLT,HQBOLT,HIGH_QUALITY_BOLT
28,AMMO,BOLT,TRNBOLT,TRANQUIL_BOLT
29,AMMO,BULLET,BULL01,BULLET
30,AMMO,BULLET,UBULL4A,BULLETS_OF_FIRE_PLUS2
31,AMMO,BULLET,BULL02,BULLET_PLUS1
32,AMMO,BULLET,BULL03,BULLET_PLUS2
33,AMMO,DART,UDART2A,BERSERKER_DARTS
34,AMMO,DART,UDART3B,BLINDING_DART_PLUS2
35,AMMO,DART,DART01,DART
36,AMMO,DART,DART03,DART_OF_STUNNING_PLUS1
37,AMMO,DART,DART04,DART_OF_WOUNDING_PLUS1
38,AMMO,DART,DART02,DART_PLUS1
39,AMMO,DART,UDART3A,FIRE_DART_PLUS2
40,AMMO,DART,UDART1A,HAMMER_DARTS
41,AMMO,DART,UDART5A,INFERNO_DART_PLUS4
42,AMMO,DART,MDK2MTOV,MOLOTOV_COCKTAIL
43,AMMO,DART,UDART4A,STATIC_DART_PLUS3
44,AMMO,DART,DARTZIL,ZILZANZER_S_MAGNIFICENT_DART_PLUS1
45,AMULET,AMULET,AMUL06,AGNI_MANI_NECKLACE
46,AMULET,AMULET,AMULFLE,AMULET_OF_DARK_FLESH
47,AMULET,AMULET,AMUL16,AMULET_OF_METASPELL_INFLUENCE
48,AMULET,AMULET,AMUL14,AMULET_OF_PROTECTION_PLUS1
49,AMULET,AMULET,ANTIWEB,ANTIWEB
50,AMULET,AMULET,AMULBRA,BADGE_OF_THE_BRAVE
51,AMULET,AMULET,AMULBAR,BARRIER_AMULET
52,AMULET,AMULET,BEHAMU,BEHAMU
53,AMULET,AMULET,BWTALIS,BLACK_WOLF_TALISMAN
54,AMULET,AMULET,AMUL13,BLOODSTONE_AMULET
55,AMULET,AMULET,BONEAM,BONE_TALISMAN
56,AMULET,AMULET,CIFADE,CIFADE
