,KitCode,Kit
0,0,NONE
1,16384,BARBARIAN
2,32768,MAGESCHOOL_WILDMAGE
3,4194304,MAGESCHOOL_ABJURER
4,8388608,MAGESCHOOL_CONJURER
5,16777216,MAGESCHOOL_DIVINER
6,33554432,MAGESCHOOL_ENCHANTER
7,67108864,MAGESCHOOL_ILLUSIONIST
8,134217728,MAGESCHOOL_INVOKER
9,268435456,MAGESCHOOL_NECROMANCER
10,536870912,MAGESCHOOL_TRANSMUTER
11,1073741824,TRUECLASS
12,1073741824,MAGESCHOOL_GENERALIST
13,1073807360,BERSERKER
14,1073872896,WIZARDSLAYER
15,1073938432,KENSAI
16,1074003968,CAVALIER
17,1074069504,INQUISITOR
18,1074135040,UNDEADHUNTER
19,1074200576,FERALAN
20,1074266112,STALKER
21,1074331648,BEASTMASTER
22,1074397184,ASSASIN
23,1074462720,BOUNTYHUNTER
24,1074528256,SWASHBUCKLER
25,1074593792,BLADE
26,1074659328,JESTER
27,1074724864,SKALD
28,1074790400,TOTEMIC
29,1074855936,SHAPESHIFTER
30,1074921472,BEASTFRIEND
31,1074987008,GODTALOS
32,1075052544,GODHELM
33,1075118080,GODLATHANDER
34,1075838976,BLACKGUARD
35,1075904512,SHADOWDANCER
36,1075970048,DWARVEN_DEFENDER
37,1076035584,DRAGON_DISCIPLE
38,1076101120,DARK_MOON
39,1076166656,SUN_SOUL
40,1076297728,GRIZZLY_BEAR
41,1076363264,OHTYR
