,StateCode,State
0,0,STATE_NORMAL
1,2048,STATE_DEAD
2,1024,STATE_ACID_DEATH
3,512,STATE_FLAME_DEATH
4,256,STATE_EXPLODING_DEATH
5,128,STATE_STONE_DEATH
6,64,STATE_FROZEN_DEATH
7,32,STATE_HELPLESS
8,16,STATE_INVISIBLE
9,8,STATE_STUNNED
10,4,STATE_PANIC
11,2,STATE_BERSERK
12,1,STATE_SLEEPING
13,4096,STATE_SILENCED
14,8192,STATE_CHARMED
15,16384,STATE_POISONED
16,32768,STATE_HASTED
17,65536,STATE_SLOWED
18,131072,STATE_INFRAVISION
19,262144,STATE_BLIND
20,524288,STATE_DISEASED
21,1048576,STATE_FEEBLEMINDED
22,2097152,STATE_NONDETECTION
23,4194304,STATE_IMPROVEDINVISIBILITY
24,8388608,STATE_BLESS
25,16777216,STATE_CHANT
26,33554432,STATE_FADE_IN
27,67108864,STATE_FADE_OUT
28,134217728,STATE_AID
29,268435456,STATE_CHANTBAD
30,536870912,STATE_BLUR
31,1073741824,STATE_MIRRORIMAGE
32,2147483648,STATE_CONFUSED
33,1056809,STATE_HARMLESS
34,2147745796,STATE_RANGED_TARGET
35,2148802605,STATE_OUT_OF_ACTION
36,4194320,STATE_NOT_VISIBLE
37,1673560080,STATE_ENCHANTED
38,1614807056,STATE_ILLUSIONS
39,2147497999,STATE_INVALID
