,ItemSlot,Category,ItemCode,Item
0,AMMO,BOLTS,BOLT02,ACIDIC_SPONGE_BOLTS
1,AMMO,BOLTS,BOLT01,BOLTS_OF_ACHERON
2,AMMO,BOLTS,BOLT09,BOLTS_OF_KESSEK_THE_DEVOURER
3,AMMO,BOLTS,BOLT05,BOLTS_OF_WHISTLING_DOOM
4,AMMO,BOLTS,BOLT06,BOLTS_OF_WINCING
5,AMMO,BOLTS,BOLT08,JAGGED_BOLTS
6,AMMO,BOLTS,NORDBOLT,NORDOM_S_CROSSBOW_BOLTS
7,AMMO,BOLTS,BOLT03,RULE_OF_THREES_BOLTS
8,AMMO,BOLTS,BOLT07,WINGED_BOLTS
9,AMMO,BOLTS,BOLT04,ZEPHYR_BOLTS
10,AMULET,AMULET,MINHP1,NO_NAME
11,ARMOR,ARMOR,AVEST,ANNAH_S_VEST
12,ARMOR,ARMOR,BOD_GP,BODICE_OF_THE_GODLESS_PRIEST
13,ARMOR,ARMOR,BOD_PQ,BODICE_OF_THE_PERILOUS_QUEST
14,ARMOR,ARMOR,ZERTH,DAK_KON_ZERTH_ARMOR
15,ARMOR,ARMOR,DUSTROBE,DUSTMAN_ROBES
16,ARMOR,ARMOR,CHASTITY,FALL_FROM_GRACE_S_CHASTITY_BODICE
17,ARMOR,ARMOR,JER_BR,JERKIN_OF_THE_BRAZEN_ROGUE
18,ARMOR,ARMOR,JER_FS,JERKIN_OF_THE_FLITTING_SHADOW
19,ARMOR,ARMOR,VERMIN,LOWER_PLANE_VERMIN_ARMOR
20,ARMOR,ARMOR,VHAILOR,VHAILOR_S_MERCYKILLER_ARMOR
21,BRACER,GAUNTLET,LIMLIM,PET_LIM_LIM
22,MISC,GOLD,COPPER,COPPER_COMMONS
23,MISC,KEY,PCS_KEY,FESTHALL_ROOM_KEY
24,MISC,KEY,DBOX,ORNATE_BOX
25,MISC,KEY,RAGS,RAGS
26,MISC,KEY,KEYSNTRY,SMALL_RED_KEY
27,MISC,KEY,KEYSYBIL,TENEMENT_KEY
28,MISC,KEY,KEYSTRRM,TENEMENT_STOREROOM_KEY
29,MISC,LENSE,LENS12,BEER_GOGGLES
30,MISC,LENSE,LENS04,LENS_OF_CONFOUNDING
31,MISC,LENSE,LENS02,LENS_OF_INHERENT_VICIOUSNESS
32,MISC,LENSE,LENS08,LENS_OF_PERSPICACITY
33,MISC,LENSE,LENS06,LENS_OF_SEEING_DOUBLE
34,MISC,LENSE,LENS07,LENS_OF_THE_BAT
35,MISC,LENSE,LENS10,LENS_OF_THE_HORIZON
36,MISC,LENSE,LENS03,MAGNIFYING_LENS
37,MISC,LENSE,LENS01,NORDOM_S_OCULAR
38,MISC,LENSE,LENS11,OPTIX
39,MISC,LENSE,LENS05,RETRACTABLE_SCOPE
40,MISC,LENSE,LENS13,STEALTH_LENS
41,MISC,LENSE,LENS09,TIME_S_EYEPIECE
42,MISC,MISC,PIPE,ABYSSAL_PIPE
43,MISC,MISC,SKULLAC,ACASTE_S_SKULL
44,MISC,MISC,ADDRTEAR,ADDER_S_TEAR
45,MISC,MISC,AMBEAR,AMBER_EARRINGS
46,MISC,MISC,ANEAR1,ANARCHIST_EARRING_1
47,MISC,MISC,ANEAR2,ANARCHIST_EARRING_2
48,MISC,MISC,ANEAR3,ANARCHIST_EARRING_3
49,MISC,MISC,ANEAR4,ANARCHIST_EARRING_4
50,MISC,MISC,COPEARC,ANCIENT_COPPER_EARRING_CLOSED
51,MISC,MISC,COPEARO,ANCIENT_COPPER_EARRING_HOLLOW
52,MISC,MISC,EYEGLAS2,ANGLE_LESS_EYE
53,MISC,MISC,ACONTRAC,ANGYAR_S_DEAD_CONTRACT
54,MISC,MISC,TRELON,ASHES_OF_THE_PABULUM
55,MISC,MISC,ACLUE,A_CLUE
56,MISC,MISC,AGOODY,A_GOODY
57,MISC,MISC,MAGITM,A_MAGIC_ITEM
58,MISC,MISC,BAATORSK,BAATOR_SPELL_KEY
59,MISC,MISC,BAGOCOIN,BAG_OF_COINS
60,MISC,MISC,BAGTEETH,BAG_OF_TEETH
61,MISC,MISC,BANDAGE,BANDAGES
62,MISC,MISC,TANKARD,BATTERED_TANKARD
63,MISC,MISC,BELL,BELL_S_SHIELD
64,MISC,MISC,BBCHRM,BLACK_BARBED_CHARM
65,MISC,MISC,BSEED1,BLACK_BARBED_SEED
66,MISC,MISC,BBSEED,BLACK_BARBED_SEED_1
67,MISC,MISC,BJOURN,BLANK_JOURNAL
68,MISC,MISC,C_1101,BLESSED_CANDY
69,MISC,MISC,BHANKY,BLOODY_HANDKERCHIEF
70,MISC,MISC,BLOOCHRM,BLOOD_CHARM
71,MISC,MISC,BLOODFLY,BLOOD_FLY_CHARM
72,MISC,MISC,BONECHRM,BONE_CHARM
73,MISC,MISC,SKJOURN,BONE_FRAMED_JOURNAL
74,MISC,MISC,BROBRA,BRONZE_BRACELET
75,MISC,MISC,BSPHERE,BRONZE_SPHERE
76,MISC,MISC,CANDLE,CANDLESTICK
77,MISC,MISC,CARCERSK,CARCERI_SPELL_KEY
