,RaceCode,Race
0,2,AASIMAR
1,3,ABISHAI_BLACK
2,4,ABISHAI_GREEN
3,5,ABISHAI_RED
4,6,ANNAH
5,7,BAATEZU
6,73,BARIAUR
7,8,CAMPATUSKANELLA
8,9,CORNUGON
9,10,CRANIUM_RAT
10,11,DABUS
11,12,DAKKON
12,13,DEIONARRA
13,14,DEVA
14,15,DRONE_BOSS
15,16,DRONE_HEAVY
16,17,DRONE_LIGHT
17,18,DRONE_MEDIUM
18,19,FALL_FROM_GRACE
19,20,FELL
20,21,GEHRELETH
21,22,GENSAI_AIR
22,23,GENSAI_FIRE
23,24,GENSAI_STONE
24,25,GENSAI_WATER
25,26,GHOST
26,27,GHOUL
27,28,GIANT_SKELETON
28,29,GITHYANKI
29,30,GITHZERAI
30,31,GLABREZU
31,32,GRILLIG
32,33,GRONK
33,34,HARGRIMM
34,1,HUMAN
35,35,IGNUS
36,36,IRON_GOLEM
37,37,JAMES_BIRD
38,38,LADY_OF_PAIN
39,39,LEMURE
40,40,LIM_LIM
41,41,LOTHAR
42,42,MANTUOK
43,43,MANY_AS_ONE
44,44,MODRON
45,45,MORTE
46,46,NIGHT_HAG
47,48,NORDOM
48,47,NO_RACE
49,255,NO_RACE_1
50,49,NUPPERIBO
51,50,PILLAR_OF_SKULLS
52,51,RESTLESS_SPIRIT
53,52,ROGUE_MODRON
54,53,SHADOW_MARK_1
55,54,SHADOW_MARK_2
56,55,SHADOW_MARK_3
57,56,SKELETON
58,57,SKELETON_GIANT
59,58,SKELETON_PRIEST
60,59,SOHMIEN
61,60,STONE_GOLEM
62,61,SUCCUBUS
63,62,TANARRI
64,63,THOKOLA
65,64,TIEFLING
66,65,TRIGIT
67,66,TROCOPOTOCA
68,254,UNKNOWN_RACE
69,67,VARGOUILLE
70,68,VHAILOR
71,69,WERERAT
72,70,WERERAT_MANTUOK
73,71,WORM
74,72,ZOMBIE
