,Category,ItemCode,Item
0,AMULET,AMUL01,Necklace of Missiles                          
1,AMULET,AMUL02,Necklace                                      
2,AMULET,AMUL04,Studded Necklace with Zios Gems               
3,AMULET,AMUL06,Agni Mani Necklace                            
4,AMULET,AMUL08,Tiger Cowrie Shell Necklace                   
5,AMULET,AMUL09,Silver Necklace                               
6,AMULET,AMUL10,Gold Necklace                                 
7,AMULET,AMUL11,Pearl Necklace                                
8,AMULET,AMUL13,Bloodstone Amulet                             
9,AMULET,AMUL14,Amulet of Protection +1                       
10,AMULET,AMUL15,Shield Amulet                                 
11,AMULET,AMUL16,Amulet of Metaspell Influence                 
12,AMULET,AMULBAR,Barrier Amulet                                
13,AMULET,AMULBRA,Badge of the Brave                            
14,AMULET,AMULBRO,Clasp of Bron's Cloak                         
15,AMULET,AMULDEF,Scarab of Defense                             
16,AMULET,AMULFLE,Amulet of Dark Flesh                          
17,AMULET,ANTIWEB,
18,AMULET,BDSLEEP,Necklace                                      
19,AMULET,BEHAMU,
20,AMULET,BONEAM,Bone Talisman                                 
21,AMULET,BWTALIS,Black Wolf Talisman                           
22,AMULET,CIFADE,
23,AMULET,CISHELH,Kossuth's Blood                               
24,AMULET,CORELLO,Symbol of Corellon Larethian                  
25,AMULET,IMMAGMS,
26,AMULET,IMMCLOUD,
27,AMULET,IPSION,Greenstone Amulet                             
28,AMULET,KOSSUTH,Kossuth's Blood                               
29,AMULET,LABELAS,Symbol of Labelas Enoreth                     
30,AMULET,MINHP1,
31,AMULET,MINHPAM,
32,AMULET,MINHPN9,
33,AMULET,MIREKQI,Mirek's Family Heirloom                       
34,AMULET,MIRROR2,Mirror of Black Ice Amulet                    
35,AMULET,MONHP1,
36,AMULET,MOONBOW,Symbol of Sehanine Moonbow                    
37,AMULET,OHPOMILL,Detect Illusion                               
38,AMULET,REGHP2R,
39,AMULET,SCARAB,Scarab of Goodwill                            
40,AMULET,SEEAMUL,
41,AMULET,SHADE,
42,AMULET,SHEVARA,Symbol of Shevarash                           
43,AMULET,SOLONOR,Symbol of Solonor Thelandira                  
44,AMULET,SUMAMU,
45,AMULET,WEREAMUL,Sel
46,ARMOR,ARMPEN,Armor of Penance +5                           
47,ARMOR,BLCKPLA,Plate Mail Armor                              
48,ARMOR,BLOOD,Bathed-In-Blood +4                            
49,ARMOR,CDHARMOR,Yeti Hide Armor +1                            
50,ARMOR,CDSCALE,White Dragon Scale                            
51,ARMOR,CHAINBM,Baleful Mail +2                               
52,ARMOR,CHAN01,Chain Mail                                    
53,ARMOR,CHAN02,Chain Mail +1                                 
54,ARMOR,CHAN03,Chain Mail +2                                 
55,ARMOR,CHAN04,Splint Mail                                   
