,Category,ItemCode,Item
0,SCROLL,SCRL03,Protection from Acid
1,SCROLL,SCRL04,Protection from Cold
2,SCROLL,SCRL05,Protection from Electricity
3,SCROLL,SCRL06,Protection from Fire
4,SCROLL,SCRL07,Protection from Magic
5,SCROLL,SCRL08,Protection from Poison
6,SCROLL,SCRL09,Protection from Undead
7,SCROLL,SCRL10,Cursed Scroll of Weakness
8,SCROLL,SCRL11,Cursed Scroll of Clumsiness
9,SCROLL,SCRL12,Cursed Scroll of Foolishness
10,SCROLL,SCRL13,Cursed Scroll of Ugliness
11,SCROLL,SCRL15,Protection from Petrification
12,SCROLL,SCRL16,Cursed Scroll of Petrification
13,SCROLL,SCRL17,Cursed Scroll of Ailment
14,SCROLL,SCRL18,Cursed Scroll of Stupidity
15,SCROLL,SCRLJALA,Geas Removal Scroll
16,SCROLL,SCRLPET,Stone to Flesh Scroll
17,SCROLL,SCRLZZ,Summon Cow 
18,SCROLL,SCRL5U,Reflected Image 
19,SCROLL,SCRL66,Grease 
20,SCROLL,SCRL67,Armor 
21,SCROLL,SCRL68,Burning Hands 
22,SCROLL,SCRL69,Charm Person 
23,SCROLL,SCRL6D,Find Familiar 
24,SCROLL,SCRL70,Color Spray 
25,SCROLL,SCRL72,Friends 
26,SCROLL,SCRL75,Identify 
27,SCROLL,SCRL76,Infravision 
28,SCROLL,SCRL77,Magic Missile 
29,SCROLL,SCRL78,Protection From Evil 
30,SCROLL,SCRL79,Shield 
31,SCROLL,SCRL80,Shocking Grasp 
32,SCROLL,SCRL81,Sleep 
33,SCROLL,SCRL82,Chill Touch 
34,SCROLL,SCRL83,Chromatic Orb 
35,SCROLL,SCRL84,Larloch's Minor Drain 
36,SCROLL,SCRL86,Detect Evil 
37,SCROLL,SCRLA6,Spook 
38,SCROLL,SCDECA,Decastave 
39,SCROLL,SCRL1B,Agannazar's Scorcher 
40,SCROLL,SCRL1C,Ghoul touch 
41,SCROLL,SCRL3G,Vocalize 
42,SCROLL,SCRL6E,Power Word
43,SCROLL,SCRL6F,Ray of Enfeeblement 
44,SCROLL,SCRL71,Blindness 
45,SCROLL,SCRL73,Protection from Petrification 
46,SCROLL,SCRL85,Blur 
47,SCROLL,SCRL87,Detect Invisibility 
